"uniqueID";"item";"self_A";"other_A";"self_B";"other_B";"choice_self";"choice_other";"optionSide";"count_trials"
10;"10";"-0,41";"+2,41";"-0,73";"+2,00";-73;200;"A_left";11
10;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";12
10;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"B_left";13
10;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"A_left";14
10;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"B_left";15
10;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"A_left";16
10;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"A_left";17
10;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";18
10;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"B_left";19
10;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"A_left";20
10;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"B_left";21
10;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";22
10;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";23
11;"12";"-0,93";"+1,52";"-1,00";"+1,00";-93;152;"B_left";0
11;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"A_left";1
11;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"B_left";2
11;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"B_left";3
11;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"A_left";4
11;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";5
11;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"B_left";6
11;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"A_left";7
11;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"A_left";8
11;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"A_left";9
11;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";10
11;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"A_left";11
11;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";12
11;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"B_left";13
11;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"A_left";14
11;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";15
11;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"A_left";16
11;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";17
11;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";18
11;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"B_left";19
11;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"B_left";20
11;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"B_left";21
11;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"B_left";22
11;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"A_left";23
12;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"B_left";0
12;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"A_left";1
12;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"A_left";2
12;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"B_left";3
12;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"A_left";4
12;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"B_left";5
12;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"A_left";6
12;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"A_left";7
12;"18";"+0,48";"-0,93";"+1,00";"-1,00";48;-93;"A_left";8
12;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"A_left";9
12;"12";"-0,93";"+1,52";"-1,00";"+1,00";-100;100;"B_left";10
12;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";11
12;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"A_left";12
12;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";13
12;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";14
12;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"A_left";15
12;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"B_left";16
12;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"B_left";17
12;"1";"+3,00";"+1,00";"+2,93";"+1,52";293;152;"A_left";18
12;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"A_left";19
12;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"A_left";20
12;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"B_left";21
12;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"A_left";22
12;"2";"+2,93";"+1,52";"+2,73";"+2,00";273;200;"B_left";23
13;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"A_left";0
13;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";1
13;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"A_left";2
13;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"B_left";3
13;"12";"-0,93";"+1,52";"-1,00";"+1,00";-100;100;"A_left";4
13;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";5
13;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"B_left";6
13;"17";"-0,00";"-0,73";"+0,48";"-0,93";0;-73;"A_left";7
13;"11";"-0,73";"+2,00";"-0,93";"+1,52";-93;152;"A_left";8
13;"14";"-0,93";"+0,48";"-0,73";"-0,00";-93;48;"A_left";9
13;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"B_left";10
13;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"B_left";11
13;"3";"+2,73";"+2,00";"+2,41";"+2,41";241;241;"B_left";12
13;"10";"-0,41";"+2,41";"-0,73";"+2,00";-73;200;"A_left";13
13;"15";"-0,73";"-0,00";"-0,41";"-0,41";-73;0;"B_left";14
